,Unnamed: 0.1,Unnamed: 0,Fake ID,Year,City,Month,Day,Time,Week,Type Of Accident,Reasons,Street,Place,Area,Location,Lighting,Road Condition,Weather Condition,Road surface,Lay injured,Injured seat,Degree of injury,Age of the injured,The person's gender,Speed of the road,Number of tracks,Pedestrian behavior,Intersection,Total
288,288,288,896761,2021,Ras Al Khaimah,January,Saturday,Evening,The first week,Cross -100,Preoccupation with the road while driving the vehicle in any way,Sheikh Abdullah bin Mohammed Al Qasimi Street,Residential area,Sahih poems,Individual,Night - without lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,24,Male,40,1,There is no,Not on or by (20) meters of a,1
289,289,289,896762,2021,Abu Dhabi,November,Tuesday,In the afternoon,the third week,Shock,Overcoming the red light signal - the arrow signal,Mina Street(Three),Commercial area,The port,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,40,Male,80,4,There is no,Vertical cross intersection,1
290,290,290,896763,2021,Abu Dhabi,June,Monday,In the afternoon,fourth week,Cross -100,Not to give priority to the infantry crossing,Khalifa Bin Zayed Street(Three),Commercial area,There is no definition of regions,Dhuatatin Road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,29,Male,40,2,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
291,291,291,896764,2021,Abu Dhabi,January,Friday,In the afternoon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Residential area,Khalifa popular bridge,Other (select),Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,11,Female,60,2,He crosses not on transit lines,Not on or by (20) meters of a,1
292,292,292,896765,2021,Umm Al Quwain,March,Tuesday,Evening,second week,Run,The lack of conditions of security and traffic safety,International Federation Street,Residential area,Al -Salamah area a,vertigo,Night - without lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Medium,39,Female,60,2,He crosses not on transit lines,vertigo,1
293,293,293,896766,2021,Abu Dhabi,Dec,Thursday,Evening,fourth week,Shock,Preoccupation with the road while driving the vehicle in any way,Khalifa Bin Zayed Street,Residential area,Maqam,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Medium,63,Male,120,3,There is no,Not at intersection,1
294,294,294,896767,2021,Abu Dhabi,November,Saturday,At noon,the third week,Shock,Not leaving enough distance,Al -Felt Street (Nin),Residential area,Zayed City (Abu Dhabi),Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Medium,21,Male,80,4,There is no,Vertical cross intersection,1
295,295,295,896768,2021,Abu Dhabi,November,Wednesday,Evening,second week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Industrial armored bridge,Individual,Night - Enough lighting,Wicked (Bad),No Clouds,Foundation,pedestrian,There is no passenger,Medium,34,Male,40,1,Familiar,Not on or by (20) meters of a,1
296,296,296,896769,2021,Abu Dhabi,May,Tuesday,At noon,The first week,Shock,Overcoming the red light signal,Reem Island,Commercial area,El-Shikh Zayed street,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Bike,Medium,32,Male,60,3,There is no,Not on or by (20) meters of a,1
297,297,297,896770,2021,Ajman,September,Monday,Before noon,fourth week,Run,Negligence and lack of attention,unknown,Residential area,Brightness,Individual,day,Hole,No Clouds,dry,pedestrian,There is no passenger,Medium,8,Male,20,0,He crosses not on transit lines,Not on or by (20) meters of a,1
298,298,298,896771,2021,Abu Dhabi,October,Monday,Evening,second week,Shock,Preoccupation with the road while driving the vehicle in any way,Al -Ruwais Street - Goods,External road,General Street (Abu Dhabi - Commodities),Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Eloquent,35,Male,160,3,There is no,Not at intersection,1
299,299,299,896772,2021,Fujairah,Dec,Wednesday,Before noon,second week,Shock,Not leaving enough distance,An internal street,Tunnel / Bridge,Ceiji area,Individual,day,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Eloquent,29,Male,40,2,There is no,Not on or by (20) meters of a,1
300,300,300,896773,2021,Sharjah,February,Tuesday,Before noon,second week,Deterioration,Sudden deviation,Khorfakkan Road,External road,Sharjah / Al Dhaid,Double road,day,Wicked (Bad),fog,dry,passenger,Rapid in the back seat,Eloquent,33,Male,120,2,There is no,Not on or by (20) meters of a,1
301,301,301,896774,2021,Abu Dhabi,April,Sunday,Before noon,the third week,Shock,Preoccupation with the road while driving the vehicle in any way,There is no definition,Agricultural area,There is no definition of regions,Dhuatatin Road,Night - without lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,21,Male,100,1,There is no,Not on or by (20) meters of a,1
302,302,302,896775,2021,Ras Al Khaimah,August,Sunday,Evening,The first week,Consecutive,Preoccupation with the road while driving the vehicle in any way,Al -Munai’i Street,Governmental,Al -Munai’i,Individual,Night - weak lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,48,Male,60,1,There is no,Not on or by (20) meters of a,1
303,303,303,896776,2021,Fujairah,May,Sunday,In the afternoon,the third week,Run,Preoccupation with the road while driving the vehicle in any way,Sheikh Zayed bin Sultan Al Nahyan Street,Mosque,Bureaux area,Double road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Eloquent,10,Female,80,2,It crosses the crossing lines,Not on or by (20) meters of a,1
304,304,304,896777,2021,Abu Dhabi,January,Tuesday,Before noon,fourth week,A fixed body shocked the road,Speed without taking into account the road conditions,There is no definition,Commercial area,Between the two bridges,Double road,day,Wicked (Bad),fog,Foundation,driver,Driver,Eloquent,66,Male,80,2,There is no,Not on or by (20) meters of a,1
305,305,305,896778,2021,Ras Al Khaimah,September,Wednesday,At noon,second week,Shock,Sudden deviation,Al -Ghail Street,External road,Inconsistent,Double road,day,Wicked (Bad),No Clouds,Temple,passenger,A passenger in the front seat,Eloquent,20,Male,100,2,There is no,Not on or by (20) meters of a,1
306,306,306,896779,2021,Sharjah,May,Saturday,Evening,the third week,Deterioration,Driving without a driver's license at all,Third industrial street,Industrial area,The tenth industrial,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Bike,Eloquent,27,Male,80,3,There is no,Not on or by (20) meters of a,1
307,307,307,896780,2021,Abu Dhabi,March,Tuesday,Evening,the third week,Be shocked,Overcoming the red light signal,Corniche intersection - Street Twenty Six,Governmental,Khalidiya,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,29,Male,60,4,It crosses the crossing lines,Vertical cross intersection,1
308,308,308,896781,2021,Sharjah,April,Monday,In the afternoon,fourth week,Deterioration,Tire explosion,Maliha Street,Industrial area,The eighteenth industrial zone,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,27,Male,40,1,There is no,Vertical cross intersection,1
309,309,309,896782,2021,Sharjah,February,Monday,Before noon,The first week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Al -Zubair Street,Mosque,The popularity of Zubair,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,39,Male,60,1,There is no,Not at intersection,1
310,310,310,896783,2021,Sharjah,May,Monday,At noon,fourth week,Shock,Enter a major road without making sure that it is free,University City Street,Commercial area,Mawlh,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,10,Male,40,1,There is no,Not on or by (20) meters of a,1
311,311,311,896784,2021,Abu Dhabi,March,Sunday,At noon,second week,Shock,Overcoming the red light signal,Reem Island,Commercial area,Reem Island,Intersection,day,Wicked (Bad),No Clouds,dry,driver,Bike,Eloquent,26,Male,80,3,There is no,Vertical cross intersection,1
312,312,312,896785,2021,Abu Dhabi,April,Tuesday,Evening,fourth week,Shock,Negligence and lack of attention,Reem Island,Tunnel / Bridge,Reem Island,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,45,Female,80,4,There is no,Not at intersection,1
313,313,313,896786,2021,Abu Dhabi,January,Monday,Evening,The first week,Shock,Overcoming the red light signal,Sultan Bin Zayed the First Street (Thirty Two),Commercial area,There is no definition of regions,Intersection,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Eloquent,38,Female,80,4,There is no,Vertical cross intersection,1
314,314,314,896787,2021,Fujairah,November,Tuesday,Evening,second week,Be shocked,Preoccupation with the road while driving the vehicle in any way,"Public Street, General Street",Agricultural area,Bureaux area,Dhuatatin Road,Night - without lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,26,Male,40,2,There is no,Not on or by (20) meters of a,1
315,315,315,896788,2021,Abu Dhabi,January,Friday,At noon,second week,Shock,Preoccupation with the road while driving the vehicle in any way,General Street (Abu Dhabi - Commodities),External road,Jomniyat,Double road,day,Wicked (Bad),No Clouds,dry,passenger,A passenger in the front seat,Eloquent,61,Male,160,4,There is no,Not on or by (20) meters of a,1
316,316,316,896789,2021,Abu Dhabi,May,Monday,At noon,the third week,A fixed body was shocked outside the road,Preoccupation with the road while driving the vehicle in any way,Abu Dhabi Road - Al Ain,Agricultural area,the safe,Individual,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,26,Male,160,3,There is no,A meeting of half -vertical roads,1
317,317,317,896790,2021,Abu Dhabi,Dec,Saturday,Before noon,second week,Deterioration,Sudden deviation,Tarif road,External road,intimate,public road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,23,Male,160,4,There is no,Not on or by (20) meters of a,1
318,318,318,896791,2021,Ras Al Khaimah,May,Saturday,In the afternoon,the third week,Be shocked,Preoccupation with the road while driving the vehicle in any way,Wadi Al -Bayh Street,Mountainous area,Sih Al -Barirat,Dhuatatin Road,day,Wicked (Bad),No Clouds,Temple,passenger,Rapid in the back seat,Eloquent,22,Male,60,2,There is no,Others,1
319,319,319,896792,2021,Abu Dhabi,April,Friday,At noon,The first week,Run,Preoccupation with the road while driving the vehicle in any way,Armored road,Commercial area,Industrial armored bridge,Individual,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Eloquent,42,Male,60,1,He crosses not on transit lines,Not on or by (20) meters of a,1
320,320,320,896793,2021,Sharjah,February,Monday,Before noon,the third week,Run,Negligence and lack of attention,Etihad Street,Residential area,Seventh industrial,Double road,day,Wicked (Bad),fog,dry,pedestrian,There is no passenger,Eloquent,27,Male,80,4,He crosses not on transit lines,Not on or by (20) meters of a,1
321,321,321,896794,2021,Ras Al Khaimah,May,Wednesday,Evening,second week,Run,Preoccupation with the road while driving the vehicle in any way,Al -Kharan Dakhli Street,Commercial area,Hurry,public road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Eloquent,43,Male,80,2,He crosses pedestrian crossing lines,Not on or by (20) meters of a,1
322,322,322,896795,2021,Abu Dhabi,April,Monday,Before noon,the third week,Run,Transit of pedestrians in a way that exceeds 80 km/h,General Street (Abu Dhabi - Commodities),External road,Funny,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Eloquent,45,Male,160,4,He crosses not on transit lines,Not on or by (20) meters of a,1
323,323,323,896796,2021,Ras Al Khaimah,January,Friday,Evening,The first week,Deterioration,Preoccupation with the road while driving the vehicle in any way,Awafi area,Sandy area,Stagnation,Out of the way,Night - without lighting,Hole,No Clouds,Sand,driver,Bike,Eloquent,38,Male,20,1,There is no,Not at intersection,1
324,324,324,896797,2021,Sharjah,April,Friday,Evening,The first week,Non -moving,Negligence and lack of attention,Al Dhaid Sharjah Street,Residential area,Sharjah International Airport,Bridge / tunnel,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,22,Male,80,2,There is no,Not on or by (20) meters of a,1
325,325,325,896798,2021,Sharjah,April,Tuesday,Evening,fourth week,Be shocked,Sudden deviation,Khan Street,Residential area,Khalidiya,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,35,Male,60,2,There is no,Not on or by (20) meters of a,1
326,326,326,896799,2021,Abu Dhabi,February,Tuesday,At noon,The first week,A fixed body was shocked outside the road,Sudden deviation,Shakhboot Bin Sultan Street,School,Ventricle,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,28,Male,120,3,There is no,Not at intersection,1
327,327,327,896800,2021,Fujairah,February,Sunday,Before noon,second week,Deterioration,The lack of conditions of security and traffic safety,Manama Street,Residential area,Musafi (Al -Haniyeh),Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Eloquent,43,Male,80,2,There is no,Not at intersection,1
328,328,328,896801,2021,Sharjah,September,Saturday,Before noon,The first week,Consecutive,Not leaving enough distance,Khorfakkan Road,Tunnel / Bridge,The forum tunnel to the square tunnel,Double road,day,Wicked (Bad),No Clouds,dry,driver,Driver,Eloquent,42,Male,100,2,There is no,Not on or by (20) meters of a,1
329,329,329,896802,2021,Fujairah,February,Monday,Before noon,The first week,Be shocked,Driving under the influence of intoxicant or anesthetic,Al -Fasil Street towards Al -Shati Hotel roundabout,External road,The faction area,Double road,day,Wicked (Bad),No Clouds,Temple,driver,Driver,Eloquent,28,Male,60,3,Familiar,Not on or by (20) meters of a,1
330,330,330,896803,2021,Ras Al Khaimah,October,Tuesday,Before noon,The first week,Run,Preoccupation with the road while driving the vehicle in any way,Jabal Jais Street,Mountainous area,Whisper,public road,day,Wicked (Bad),No Clouds,dry,pedestrian,There is no passenger,Eloquent,23,Male,40,2,There is no,Not on or by (20) meters of a,1
331,331,331,896804,2021,Ras Al Khaimah,October,Sunday,Evening,second week,Run,Negligence and lack of attention,Sheikh Rashid bin Saeed Street,Commercial area,Northern,Double road,Night - Enough lighting,Wicked (Bad),No Clouds,Temple,pedestrian,There is no passenger,Eloquent,49,Male,80,2,He crosses not on transit lines,Not on or by (20) meters of a,1
332,332,332,896805,2021,Ajman,February,Tuesday,In the afternoon,The first week,Be shocked,Enter a major road without making sure that it is free,El-Shikh Zayed street,Residential area,Halio,Intersection,day,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Eloquent,46,Male,40,0,There is no,Vertical cross intersection,1
333,333,333,896806,2021,Abu Dhabi,April,Tuesday,Evening,The first week,A fixed body was shocked outside the road,Tire explosion,Zayed City Street (New),Petrol station,Zayed City,public road,Night - Enough lighting,Wicked (Bad),No Clouds,dry,passenger,Rapid in the back seat,Eloquent,42,Male,140,2,There is no,Not on or by (20) meters of a,1
334,334,334,896807,2021,Abu Dhabi,January,Saturday,At noon,fourth week,A fixed body shocked the road,Fatigue and drowsiness,Al -Mafraq Al -Shawamik Street,Tunnel / Bridge,There is no definition of regions,Individual,day,Wicked (Bad),No Clouds,dry,driver,Bike,death,24,Male,140,4,There is no,Not on or by (20) meters of a,1
