,Unnamed: 0,rec_id,Accident number,Competent Department,Competent Center,Amount rating,Date of the accident,The date and time of the notification,Date and time of first arrival,Date and time of completion of control,End date and time of the operation,Departure date and time,Date and time of return to the center,Accident Group,Type of accident,Direct damage,Acccident scene category,Accident scene,Accident title,The band's work summary,Activity,Weather condition,Road condition,Priority level,Accident size,The cause of the accident,The number of injured people,The number of deaths in the public,The number of injured members of the force,The number of deaths of members of the force
665,665,62991,86090,Fujairah,Civil Defense Center - Al -Madinah,The audience,11/17/2013,2013/11/17-22:37,2013/11/17-22:42,2013/11/17-22:43,11/17/2013 22:45,2013/11/17-23:55,2013/11/18-00:00,Transportation accidents,Deterioration,Cars,governmental,governmental,Sheikh Al -Khalifa Street - opposite the Judicial House,Street washing,Missing,Clouds,natural,very important,basic,Traffic accident,0,0,,
666,666,62995,86094,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/18/2013,2013/11/18-08:12,2013/11/18-08:17,2013/11/18-08:19,11/18/2013 8:21,2013/11/18-08:22,2013/11/18-08:40,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Al -Dhait Street,Ambulance and transfer of a person,furniture,No Clouds,natural,very important,basic,Traffic accident,1,0,,
667,667,63015,86114,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,11/19/2013,2013/11/19-13:37,2013/11/19-13:50,2013/11/19-13:55,11/19/2013 14:00,2013/11/19-14:01,2013/11/19-15:00,Transportation accidents,Deterioration,the person,Public facilities and services,Public places and places,Al -Manai Street (Crusher Katera),Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
668,668,63040,86139,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,11/20/2013,2013/11/20-16:50,2013/11/20-16:59,2013/11/20-17:01,11/20/2013 17:02,2013/11/20-17:03,2013/11/20-17:37,Transportation accidents,One hundredth,the person,Public facilities and services,Public places and places,"Sheikh Mohammed bin Zayed Street, exit 110",Ambulance and transfer of a person,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
669,669,63041,86140,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,The audience,11/20/2013,2013/11/20-18:10,2013/11/20-18:20,2013/11/20-18:25,11/20/2013 18:27,2013/11/20-18:29,2013/11/20-19:21,Transportation accidents,Deterioration,the person,Other places,Streets and squares,Al -Marjan Island roundabout towards Umm Al Quwain,Ambulance and transfer of a person,Missing,No Clouds,natural,very important,basic,Traffic accident,3,0,,
670,670,63054,86153,Ras Al Khaimah,Civil Defense Center - Administration,Civil defense departments and centers,11/21/2013,2013/11/21-11:15,2013/11/21-11:19,2013/11/21-11:20,11/21/2013 11:23,2013/11/21-11:25,2013/11/21-12:00,Transportation accidents,Clash,the person,Other places,Streets and squares,Golan area,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
671,671,63069,86168,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,11/21/2013,2013/11/21-08:15,2013/11/21-08:18,2013/11/21-08:20,11/21/2013 8:22,2013/11/21-08:25,2013/11/21-08:41,Transportation accidents,One hundredth,the person,Public facilities and services,Public places and places,"Ramla area, next to Faisal Supermarket",Ambulance and rescue,Cars,Clouds,natural,Normal,basic,Traffic accident,2,0,,
672,672,63086,86185,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/22/2013,2013/11/22-01:40,2013/11/22-01:45,2013/11/22-01:47,11/22/2013 1:55,2013/11/22-01:58,2013/11/22-02:25,Transportation accidents,Clash,the person,Other places,Streets and squares,Lantern roundabout,Ambulance and transfer of injured and deceased,Specific,No Clouds,natural,very important,basic,Traffic accident,3,0,,
673,673,63093,86192,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/22/2013,2013/11/22-11:53,2013/11/22-11:59,2013/11/22-12:03,11/22/2013 12:05,2013/11/22-12:08,2013/11/22-12:31,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Whisper at the intersection of Rams,Ambulance and transfer of a person,Missing,Clouds,natural,Important,basic,Traffic accident,1,0,,
674,674,63099,86198,Ras Al Khaimah,Civil Defense Center - Kadra,Police and traffic,11/22/2013,2013/11/22-16:16,2013/11/22-16:26,2013/11/22-16:30,11/22/2013 17:10,2013/11/22-17:40,2013/11/22-17:55,Transportation accidents,Deterioration,bike,Other places,Streets and squares,Shocking Shari'ah,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
675,675,63102,86201,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/22/2013,2013/11/22-18:13,2013/11/22-18:16,2013/11/22-18:25,11/22/2013 18:55,2013/11/22-19:00,2013/11/22-19:14,Transportation accidents,Run over,the person,Other places,Streets and squares,In front of Al Hamra Mall,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
676,676,63106,86205,Ras Al Khaimah,Civil Defense Center - Administration,Civil defense departments and centers,11/23/2013,2013/11/23-00:32,2013/11/23-00:40,2013/11/23-00:50,11/23/2013 0:55,2013/11/23-01:00,2013/11/23-01:04,Transportation accidents,Deterioration,the person,Other places,Streets and squares,The Golan - at Rotana washbasin,Ambulance and transfer of a person,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
677,677,63109,86208,Fujairah,Civil Defense Center - Dibba,Police and traffic,11/23/2013,2013/11/23-11:15,2013/11/23-11:23,2013/11/23-11:25,11/23/2013 11:26,2013/11/23-11:26,2013/11/23-11:30,Transportation accidents,Deterioration,Cars,governmental,governmental,Gop District - Al -Tawyin Street,Bodies,Missing,No Clouds,natural,very important,medium,it is not determined yet,1,1,,
678,678,63117,86216,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,11/23/2013,2013/11/23-21:35,2013/11/23-21:37,2013/11/23-21:38,11/23/2013 21:39,2013/11/23-21:40,2013/11/23-21:59,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Ramleh area behind ADNOC Station,Ambulance and transfer of a person,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
679,679,63131,86230,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,11/24/2013,2013/11/24-16:36,2013/11/24-16:40,2013/11/24-16:44,11/24/2013 16:49,2013/11/24-16:52,2013/11/24-17:30,Transportation accidents,Deterioration,the person,residential,residential,Al -Raaka area near Al -Zora Station,Ambulance and rescue,grocery,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
680,680,63143,86242,Fujairah,Civil Defense Center - Al -Taween,Police and traffic,11/25/2013,2013/11/25-05:03,2013/11/25-05:05,2013/11/25-05:06,11/25/2013 5:07,2013/11/25-05:08,2013/11/25-05:50,Transportation accidents,One hundredth,Cars,Public facilities and services,Public places and places,Al -Tuwayen Street,Transfer,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
681,681,63147,86246,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,11/25/2013,2013/11/25-09:29,2013/11/25-09:34,2013/11/25-09:40,11/25/2013 9:43,2013/11/25-09:45,2013/11/25-10:34,Transportation accidents,Run over,the person,Public facilities and services,Public places and places,Whisper (at the cemetery),Transfer,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
682,682,63149,86248,Fujairah,Civil Defense Center - Dibba,Police and traffic,11/25/2013,2013/11/25-09:45,2013/11/25-09:51,2013/11/25-09:56,11/25/2013 10:05,2013/11/25-10:10,2013/11/25-10:19,Transportation accidents,One hundredth,Cars,Means of transport,car,car crash,take actions,Stones,No Clouds,natural,very important,medium,it is not determined yet,1,1,,
683,683,63150,86249,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/25/2013,2013/11/25-11:30,2013/11/25-11:39,2013/11/25-11:41,11/25/2013 11:45,2013/11/25-11:46,2013/11/25-12:15,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Al -Kharan Roundabout,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
684,684,63160,86259,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/25/2013,2013/11/25-21:46,2013/11/25-21:50,2013/11/25-22:00,11/25/2013 22:15,2013/11/25-22:25,2013/11/28-22:30,Transportation accidents,Clash,the person,Other places,Streets and squares,Golan,Ambulance and transfer of a person,Missing,I did not specify,natural,Normal,basic,it is not determined yet,1,0,,
685,685,63163,86262,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/26/2013,2013/11/26-06:54,2013/11/26-06:55,2013/11/26-06:58,11/26/2013 6:59,2013/11/26-07:00,2013/11/26-07:20,Transportation accidents,Clash,the person,governmental,governmental,Al -Hosn Street Lulu Roundabout,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
686,686,63165,86264,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/26/2013,2013/11/26-09:24,2013/11/26-09:26,2013/11/26-09:28,11/26/2013 9:30,2013/11/26-09:31,2013/11/26-10:10,Transportation accidents,Clash,the person,governmental,governmental,Near the Economic Department,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,2,0,,
687,687,63166,86265,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/26/2013,2013/11/26-10:20,2013/11/26-10:23,2013/11/26-10:24,11/26/2013 10:26,2013/11/26-10:27,2013/11/26-11:00,Transportation accidents,Clash,the person,commercial,commercial,Passports Street,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
688,688,63172,86271,Umm Al Quwain,Civil Defense Center - Administration,Police and traffic,11/26/2013,2013/11/26-16:35,2013/11/26-16:38,2013/11/26-16:45,11/26/2013 16:47,2013/11/26-16:48,2013/11/26-17:26,Transportation accidents,Clash,Cars,Public facilities and services,Public places and places,Sheikh Zayed Street directed by Umm Al Quwain,Directing confined and transferring injured people,Cars,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
689,689,63173,86272,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/26/2013,2013/11/26-15:35,2013/11/26-15:40,2013/11/26-15:42,11/26/2013 15:43,2013/11/26-15:44,2013/11/26-16:15,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Shatt Al -Rams Street formerly Nesnas,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,2,0,,
690,690,63174,86273,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/26/2013,2013/11/26-16:47,2013/11/26-16:52,2013/11/26-16:53,11/26/2013 16:55,2013/11/26-16:56,2013/11/26-17:40,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Golan,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
691,691,63175,86274,Ras Al Khaimah,Civil Defense Center - Al -Jazeera Al -Hamra,Police and traffic,11/26/2013,2013/11/26-19:28,2013/11/26-19:30,2013/11/26-19:31,11/26/2013 19:32,2013/11/26-19:32,2013/11/26-20:46,Transportation accidents,Run over,the person,Industrial,Industrial,Al -Jazeera Al -Hamra near the Akassia Hotel,Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
692,692,63188,86287,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/27/2013,2013/11/27-05:38,2013/11/27-05:46,2013/11/27-05:48,11/27/2013 5:49,2013/11/27-05:50,2013/11/27-06:30,Transportation accidents,Deterioration,the person,Public facilities and services,Public places and places,"Sheikh Mohammed bin Zayed Street in Ras Al Khaimah, Exit 122",Transfer,governmental,No Clouds,natural,very important,basic,Traffic accident,1,0,,
693,693,63190,86289,Ajman,Civil Defense Center - Administration,Police and traffic,11/27/2013,2013/11/27-06:10,2013/11/27-06:15,2013/11/27-06:20,11/27/2013 6:25,2013/11/27-06:30,2013/11/27-06:35,Transportation accidents,Clash,Missing,Other places,unknown,Manama area,Ambulance,Missing,No Clouds,natural,Normal,basic,it is not determined yet,1,0,,
694,694,63191,86290,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/27/2013,2013/11/27-11:41,2013/11/27-11:42,2013/11/27-11:43,11/27/2013 11:45,2013/11/27-11:47,2013/11/27-12:08,Transportation accidents,Deterioration,the person,Other places,Streets and squares,Chimim area,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
695,695,63197,86296,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/27/2013,2013/11/27-17:28,2013/11/27-17:32,2013/11/27-17:34,11/27/2013 17:35,2013/11/27-17:35,2013/11/27-18:05,Transportation accidents,Clash,the person,Other places,Streets and squares,Al -Sih Street,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,2,0,,
696,696,63200,86299,Umm Al Quwain,Civil Defense Center - Al -Madinah,Police and traffic,11/27/2013,2013/11/27-21:39,2013/11/27-21:42,2013/11/27-21:45,11/27/2013 21:46,2013/11/27-21:47,2013/11/27-21:50,Transportation accidents,Run over,the person,commercial,Shopping center,The industrial zone near the Manama supermarket,Ambulance and transfer of a person,supermarket,No Clouds,natural,Normal,basic,Traffic accident,1,0,,
697,697,63202,86301,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/28/2013,2013/11/28-00:09,2013/11/28-00:12,2013/11/28-00:16,11/28/2013 0:18,2013/11/28-00:22,2013/11/28-00:38,Transportation accidents,Clash,the person,Other places,Streets and squares,Palm area,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,1,0,,
698,698,63207,86306,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/28/2013,2013/11/28-06:18,2013/11/28-06:22,2013/11/28-06:24,11/28/2013 6:30,2013/11/28-06:33,2013/11/28-07:10,Transportation accidents,Deterioration,the person,Other places,Streets and squares,Julpar region,Ambulance and transfer of a person,Specific,No Clouds,natural,Important,basic,Traffic accident,3,0,,
699,699,63208,86307,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/28/2013,2013/11/28-13:26,2013/11/28-13:30,2013/11/28-13:32,11/28/2013 13:34,2013/11/28-13:35,2013/11/28-14:00,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Golan,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
700,700,63209,86308,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/28/2013,2013/11/28-14:44,2013/11/28-14:47,2013/11/28-14:50,11/28/2013 14:52,2013/11/28-14:54,2013/11/28-15:30,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,In exchange for Al -Manar Mall,Ambulance and transfer of a person,furniture,No Clouds,natural,Important,medium,Traffic accident,1,1,,
701,701,63210,86309,Ras Al Khaimah,Civil Defense Center - Northern Administration,Police and traffic,11/28/2013,2013/11/28-15:59,2013/11/28-16:04,2013/11/28-16:08,11/28/2013 16:15,2013/11/28-16:16,2013/11/28-16:50,Transportation accidents,Deterioration,the person,Public facilities and services,Public places and places,Rams (at the Rass Staqa Center),Ambulance and rescue,Missing,No Clouds,natural,Important,basic,Traffic accident,2,0,,
702,702,63211,86310,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/28/2013,2013/11/28-17:56,2013/11/28-17:59,2013/11/28-18:13,11/28/2013 18:13,2013/11/28-18:15,2013/11/28-18:45,Transportation accidents,Clash,the person,Public facilities and services,Public places and places,Video of Carrefour,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,1,0,,
703,703,63213,86312,Fujairah,Civil Defense Center - Masafi,Police and traffic,11/28/2013,2013/11/28-12:46,2013/11/28-12:55,2013/11/28-12:56,11/28/2013 12:57,2013/11/28-12:58,2013/11/28-14:05,Transportation accidents,One hundredth,Cars,Means of transport,car,Collision,Ambulance and transfer of a person,Cars,No Clouds,natural,very important,basic,it is not determined yet,1,0,,
704,704,63214,86313,Ras Al Khaimah,Civil Defense Center - Administration,Police and traffic,11/28/2013,2013/11/28-16:30,2013/11/28-16:36,2013/11/28-16:41,11/28/2013 16:43,2013/11/28-16:46,2013/11/28-17:19,Transportation accidents,Deterioration,the person,Public facilities and services,Public places and places,Al -Seha Dawar Abdulmalik,Ambulance and transfer of a person,Missing,No Clouds,natural,Important,basic,Traffic accident,2,0,,
705,705,63215,86314,Fujairah,Civil Defense Center - Al -Taween,Civil defense departments and centers,11/28/2013,2013/11/28-15:30,2013/11/28-15:35,2013/11/28-15:36,11/28/2013 15:37,2013/11/28-15:38,2013/11/28-16:00,Transportation accidents,Deterioration,Cars,Means of transport,car,Deterioration,Ambulance and rescue,Cars,No Clouds,natural,very important,basic,Traffic accident,1,0,,
